   Module\rCode  Vacancy  Demand
1        BN5207      6.0     8.0
2        EG1311     90.0     3.0
3       EG2401A     26.0   102.0
4       EG2401A     21.0    88.0
5        EG2501    173.0    39.0
6        EG2604      4.0    26.0
7        CN2116    126.0     8.0
8        CN2121     14.0     2.0
9        CN2125    113.0     3.0
10      CN3101A     31.0     1.0
11      CN3101A     19.0     1.0
12       CN3102     23.0     2.0
13       CN3121     19.0     4.0
14      CN3124A     89.0     3.0
15       CN3132     26.0     2.0
16       CN3135      6.0     5.0
17      CN3421A     12.0     6.0
